Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
Beaumont Select Corporations Inc.,2005.00,16.00,0.00,34.00,3.74,4.72,2.35,45.20,64.10,37.10,2.12,1.00,0.14,2.35,8.10,1.22,1.11,14.00,16.00
CPS Technologies Corporation (NasdaqCM:CPSH),2005.00,16.00,0.00,7.16,1.75,0.29,0.63,2.78,3.67,0.81,0.31,0.00,0.04,0.00,1.97,3.44,0.00,14.50,16.00
MRRM Inc.,2005.00,16.00,0.00,34.30,2.20,1.99,2.00,9.62,23.60,8.03,-1.76,0.00,0.06,0.00,1.59,1.20,0.00,16.40,16.10
Northampton Group Inc.,2005.00,16.00,0.00,25.50,6.71,1.03,6.71,12.90,61.00,17.40,3.10,2.93,0.04,19.66,-4.50,0.74,6.34,13.40,16.30
Grill Concepts Inc.,2005.00,16.00,0.00,70.70,8.10,0.94,3.08,6.00,22.00,7.26,3.29,0.00,0.01,0.00,-1.26,0.83,0.00,13.20,16.50
"EVI Industries, Inc. (AMEX:EVI)",2005.00,16.00,0.00,17.80,5.24,0.71,1.23,8.34,8.89,3.09,2.14,0.00,0.04,0.00,5.25,2.70,0.00,21.80,16.50
"RF Industries, Ltd. (NasdaqGM:RFIL)",2005.00,16.00,0.00,13.70,6.09,0.50,1.05,11.70,12.50,0.68,1.45,0.00,0.04,0.00,11.02,17.11,0.00,25.30,16.50
"Noble Roman's, Inc. (OTCPK:NROM)",2005.00,16.00,0.00,8.43,6.23,2.85,3.32,4.68,15.50,1.89,1.69,2.38,0.34,7.90,2.79,2.48,4.68,14.50,16.60
"Tofutti Brands, Inc. (OTCPK:TOFB)",2005.00,16.00,0.00,18.60,4.98,0.35,0.61,6.57,6.62,2.90,-0.64,0.00,0.02,0.00,3.67,2.27,0.00,17.50,16.60
"MEGTEC TurboSonic Technologies, Inc.",2005.00,16.00,0.00,17.50,3.30,0.87,0.91,5.59,6.11,4.33,0.86,0.00,0.05,0.00,1.26,1.29,0.00,5.78,16.80
Omni-Lite Industries Canada Inc. (TSXV:OML),2005.00,16.00,0.00,4.36,3.12,1.25,1.99,2.61,9.77,1.14,1.55,0.20,0.29,0.39,1.47,2.29,0.25,10.70,16.80
"Maxus Realty Trust, Inc. (OTCPK:MRTI)",2005.00,16.00,0.00,6.63,4.06,-1.09,2.83,13.70,54.70,2.82,1.10,13.70,-0.16,38.77,10.88,4.86,35.25,19.20,16.90
The Becker Milk Company Limited (TSX:BEK.B),2005.00,16.00,0.00,3.25,3.25,0.97,1.71,3.01,17.50,1.17,1.86,0.00,0.30,0.00,1.84,2.57,0.00,16.50,17.00
Novik Inc.,2005.00,16.00,0.00,9.69,3.76,-0.68,0.44,5.29,13.60,3.30,-0.49,14.70,-0.07,6.47,1.99,1.60,-13.25,,17.00
"Stamford Industrial Group, Inc. (OTCPK:SIDG.Q)",2005.00,4.00,1.00,64.50,10.80,7.44,7.89,15.00,15.20,0.35,4.54,0.00,0.12,0.00,14.65,42.37,0.00,22.50,17.10
Tecsys Inc. (TSX:TCS),2005.00,16.00,0.00,34.30,13.70,-0.11,0.90,17.70,24.90,9.50,0.42,0.00,0.00,0.00,8.20,1.86,0.00,18.40,17.20
Avalon Holdings Corporation (AMEX:AWX),2005.00,16.00,0.00,34.20,5.63,0.39,1.04,18.30,43.60,6.71,2.45,0.00,0.01,0.00,11.59,2.73,0.00,12.20,17.30
"Flanigan's Enterprises, Inc. (AMEX:BDL)",2005.00,16.00,0.00,50.30,11.90,1.23,4.08,6.46,21.70,4.40,2.73,0.00,0.02,0.00,2.06,1.47,0.00,14.50,17.50
Mexco Energy Corporation (AMEX:MXC),2005.00,16.00,0.00,3.64,2.82,0.97,2.06,0.73,9.51,0.40,1.72,0.51,0.27,1.05,0.33,1.83,0.61,10.10,17.70
Pinnacle Data Systems Inc.,2005.00,16.00,0.00,44.60,10.50,0.94,2.29,23.50,24.40,17.70,-4.81,3.86,0.02,8.84,5.80,1.33,-1.84,16.10,17.90
Dominion Citrus Income Fund,2005.00,16.00,0.00,107.50,19.80,1.99,3.75,22.70,35.40,15.80,4.28,1.08,0.02,4.05,6.90,1.44,0.95,,17.90
Trio-Tech International (AMEX:TRT),2005.00,16.00,0.00,24.90,6.54,8.26,1.69,19.40,26.90,8.01,1.97,0.00,0.33,0.00,11.39,2.42,0.00,13.00,18.00
