Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
Integrated Asset Management Corp.,2005.00,16.00,0.00,35.00,32.90,3.25,8.35,17.60,25.80,7.81,6.55,0.00,0.09,0.00,9.79,2.25,0.00,17.00,38.70
"Ecology & Environment, Inc.",2005.00,16.00,0.00,102.30,38.50,1.55,5.18,48.60,60.40,21.10,4.17,0.00,0.02,0.00,27.50,2.30,0.00,31.50,38.80
The InterGroup Corporation (NasdaqCM:INTG),2005.00,16.00,0.00,11.10,6.27,-7.07,3.19,42.40,129.60,10.30,1.08,15.80,-0.64,50.40,32.10,4.12,46.67,37.20,38.80
"The National Security Group, Inc. (NasdaqGM:NSEC)",2005.00,16.00,0.00,62.40,12.50,1.56,2.94,21.40,139.20,16.20,-5.45,6.99,0.03,20.55,5.20,1.32,-3.77,50.60,39.10
Opmedic Group Inc.,2005.00,16.00,0.00,6.17,3.57,1.08,2.03,1.02,4.34,2.01,1.61,0.76,0.18,1.53,-0.99,0.51,0.95,,39.10
"Coffee Holding Co., Inc. (NasdaqCM:JVA)",2005.00,16.00,0.00,47.30,7.92,1.30,2.58,13.00,15.50,4.15,-1.18,0.00,0.03,0.00,8.85,3.13,0.00,,39.20
Southern Community Newspapers Inc.,2005.00,4.00,1.00,40.20,9.93,4.42,8.82,27.50,171.00,34.70,9.39,13.70,0.11,120.83,-7.20,0.79,12.87,,39.20
Trecora Resources (NYSE:TREC),2005.00,16.00,0.00,80.40,16.70,16.60,12.30,16.60,67.00,18.30,0.39,1.67,0.21,20.54,-1.70,0.91,53.08,8.18,39.30
KEYreit,2005.00,16.00,0.00,9.20,8.89,1.50,8.16,0.49,114.40,1.06,7.19,6.80,0.16,55.49,-0.57,0.46,7.72,,39.30
"Ezenia!, Inc. (OTCPK:EZEN)",2005.00,6.00,1.00,13.20,8.07,3.80,3.43,16.90,17.10,9.18,3.80,0.00,0.29,0.00,7.72,1.84,0.00,14.40,39.60
"Ezenia!, Inc. (OTCPK:EZEN)",2005.00,6.00,1.00,13.20,8.07,3.80,3.43,16.90,17.10,9.18,3.80,0.00,0.29,0.00,7.72,1.84,0.00,14.40,39.60
PHC Inc.,2005.00,16.00,0.00,33.90,16.20,2.70,3.79,11.50,19.10,7.27,1.99,1.04,0.08,3.94,4.23,1.58,1.98,28.30,39.90
New Look Vision Group Inc. (TSX:BCI),2005.00,16.00,0.00,38.00,4.67,-1.93,4.44,11.00,30.60,8.40,1.03,0.60,-0.05,2.67,2.60,1.31,2.60,28.40,40.00
Paradigm Holdings Inc.,2005.00,16.00,0.00,62.30,11.10,0.82,3.59,17.40,21.40,15.90,-0.30,1.76,0.01,6.32,1.50,1.09,-21.20,48.10,40.00
Data I/O Corporation (NasdaqCM:DAIO),2005.00,16.00,0.00,28.30,16.10,0.58,1.84,15.80,18.10,5.85,-0.17,0.00,0.02,0.00,9.95,2.70,0.00,25.00,40.10
"George Risk Industries, Inc. (OTCPK:RSKI.A)",2005.00,16.00,0.00,14.30,7.40,2.89,4.34,23.40,24.60,0.51,2.26,0.00,0.20,0.00,22.89,46.06,0.00,32.40,40.20
MOD-PAC Corp.,2005.00,16.00,0.00,51.60,8.68,11.00,23.20,12.80,43.70,5.27,-2.83,0.00,0.21,0.00,7.53,2.43,0.00,46.00,40.40
HearUSA Inc.,2005.00,6.00,1.00,76.70,53.90,-2.26,5.69,16.70,71.00,20.20,1.52,4.61,-0.03,26.23,-3.50,0.83,17.26,52.80,40.60
HearUSA Inc.,2005.00,6.00,1.00,76.70,53.90,-2.26,5.69,16.70,71.00,20.20,1.52,4.61,-0.03,26.23,-3.50,0.83,17.26,52.80,40.60
Sportscene Group Inc. (TSXV:SPS.A),2005.00,16.00,0.00,48.90,8.08,3.58,8.08,12.30,29.10,9.14,5.68,0.00,0.07,0.00,3.16,1.35,0.00,23.80,40.80
Datalink Corporation,2005.00,16.00,0.00,117.10,30.60,-2.92,1.79,54.80,63.10,45.40,1.69,0.00,-0.02,0.00,9.40,1.21,0.00,31.40,40.90
Breeze-Eastern Corporation,2005.00,16.00,0.00,58.20,25.30,0.09,12.60,32.70,77.90,17.70,5.08,4.71,0.00,59.35,15.00,1.85,11.68,43.70,41.40
"Socket Mobile, Inc. (NasdaqCM:SCKT)",2005.00,16.00,0.00,25.00,12.60,-0.17,0.39,12.30,23.60,6.81,2.18,0.00,-0.01,0.00,5.49,1.81,0.00,44.90,41.40
"Isramco, Inc.",2005.00,16.00,0.00,5.23,3.01,-1.13,0.60,16.00,38.60,6.88,1.56,0.00,-0.22,0.00,9.12,2.33,0.00,15.10,41.50
"Champion Industries, Inc. (OTCPK:CHMP)",2005.00,16.00,0.00,136.80,39.30,2.00,10.20,37.70,62.70,10.20,4.73,0.43,0.01,4.36,27.50,3.70,0.92,37.30,41.70
S&K Famous Brands Inc.,2005.00,4.00,1.00,193.50,87.20,3.87,9.97,59.70,80.70,22.30,11.10,0.02,0.02,0.21,37.40,2.68,0.02,46.10,41.70
"Dover Saddlery, Inc.",2005.00,16.00,0.00,62.70,23.40,0.83,4.23,15.90,31.70,6.02,0.86,1.31,0.01,5.54,9.88,2.64,6.41,,41.70
"Cryo-Cell International, Inc. (OTCPK:CCEL)",2005.00,16.00,0.00,14.50,10.30,1.03,1.32,10.40,14.20,4.93,3.13,0.00,0.07,0.00,5.47,2.11,0.00,48.30,41.80
Gemini Corporation,2005.00,16.00,0.00,62.40,15.10,2.89,5.75,20.70,26.50,14.40,-2.54,1.44,0.05,8.28,6.30,1.44,-3.26,20.00,42.10
"Pipeline Data, Inc.",2005.00,7.00,1.00,24.10,6.52,0.37,1.14,4.22,41.90,17.00,0.82,13.80,0.02,15.73,-12.78,0.25,19.26,22.70,42.30
"Prospect Medical Holdings, Inc.",2005.00,16.00,0.00,133.70,37.60,4.09,9.86,17.60,60.40,21.60,6.74,0.00,0.03,0.00,-4.00,0.81,0.00,27.80,42.30
GeoPharma Inc.,2005.00,6.00,1.00,44.50,10.90,1.37,1.87,19.00,30.90,10.30,0.96,0.39,0.03,0.73,8.70,1.84,0.76,34.10,42.50
Apyx Medical Corporation (NasdaqGS:APYX),2005.00,16.00,0.00,20.20,7.56,0.41,1.12,7.33,11.80,1.83,-0.15,0.00,0.02,0.00,5.50,4.01,0.00,40.20,42.70
Orchids Paper Products Company,2005.00,14.00,1.00,57.70,7.32,1.39,4.99,11.20,53.70,6.72,2.64,3.66,0.02,18.26,4.48,1.67,6.92,,42.70
Orchids Paper Products Company,2005.00,16.00,0.00,57.70,7.32,1.39,4.99,11.20,53.70,6.72,2.64,3.66,0.02,18.26,4.48,1.67,6.92,,42.70
Acme United Corporation (AMEX:ACU),2005.00,16.00,0.00,49.90,22.40,2.94,7.50,23.90,28.20,7.54,-0.44,0.60,0.06,4.52,16.36,3.17,-10.28,58.20,42.90
"Technology Research, LLC",2005.00,16.00,0.00,46.10,9.92,0.79,3.45,22.60,27.80,7.61,-0.11,0.37,0.02,1.28,14.99,2.97,-11.67,35.20,43.00
"Navisite, LLC",2005.00,16.00,0.00,104.30,31.20,-12.30,9.00,17.10,94.70,97.70,4.58,7.32,-0.12,65.88,-80.60,0.18,14.38,56.10,43.00
Quaker Fabric Corp.,2005.00,2.00,1.00,224.70,30.10,-26.30,0.91,78.40,219.90,59.80,5.85,41.80,-0.12,37.91,18.60,1.31,6.48,81.80,43.10
"Allied Healthcare Products, Inc. (NasdaqCM:AHPI)",2005.00,16.00,0.00,56.80,15.70,2.71,4.72,20.50,48.00,7.52,2.74,0.00,0.05,0.00,12.98,2.73,0.00,48.50,43.30
Montana Exploration Corp.,2005.00,16.00,0.00,8.27,6.48,0.92,4.91,4.35,37.80,13.20,4.96,1.12,0.11,5.50,-8.85,0.33,1.11,28.20,43.60
Mainstreet Equity Corp. (TSX:MEQ),2005.00,16.00,0.00,22.20,13.00,-3.10,11.20,13.20,194.90,30.40,0.21,15.50,-0.14,173.60,-17.20,0.43,838.65,33.40,43.60
"SigmaTron International, Inc. (NasdaqCM:SGMA)",2005.00,16.00,0.00,113.40,15.30,2.45,9.85,52.90,94.50,16.20,-0.81,2.80,0.02,27.58,36.70,3.27,-33.97,44.40,43.90
Cagle's Inc.,2005.00,6.00,1.00,243.00,19.80,5.11,10.90,35.30,96.20,22.10,9.07,2.53,0.02,27.58,13.20,1.60,3.04,68.30,43.90
Cagle's Inc.,2005.00,6.00,1.00,243.00,19.80,5.11,10.90,35.30,96.20,22.10,9.07,2.53,0.02,27.58,13.20,1.60,3.04,68.30,43.90
"Hawaiian Macadamia Nut Orchards, L.P. (OTCPK:NNUT.U)",2005.00,16.00,0.00,17.40,2.90,0.77,3.47,9.26,58.00,5.83,1.91,1.31,0.04,4.55,3.43,1.59,2.38,44.60,44.00
"Phoenix Footwear Group, Inc. (OTCPK:PXFG)",2005.00,16.00,0.00,109.20,41.40,1.19,8.56,62.00,138.90,27.90,-0.58,6.42,0.01,54.96,34.10,2.22,-95.24,47.90,44.20
Savaria Corporation (TSX:SIS),2005.00,16.00,0.00,33.70,9.87,2.26,3.67,25.40,37.60,9.09,-0.93,0.00,0.07,0.00,16.31,2.79,0.00,19.00,44.30
"Einstein Noah Restaurant Group, Inc.",2005.00,16.00,0.00,389.10,73.70,-14.00,37.60,19.20,130.90,30.90,2.08,4.22,-0.04,158.67,-11.70,0.62,76.28,26.10,44.40
Dataram Corporation,2005.00,16.00,0.00,48.20,14.20,6.56,3.95,24.20,26.20,2.26,8.24,0.00,0.14,0.00,21.94,10.71,0.00,47.50,44.40
"DURA Automotive Systems, LLC",2005.00,14.00,1.00,1935.30,216.10,1.81,144.10,632.80,2075.20,449.70,10.50,7.23,0.00,1041.84,183.10,1.41,99.22,171.80,44.50
"Transgenomic, Inc.",2005.00,16.00,0.00,25.80,12.30,-15.00,2.20,18.10,25.30,7.43,-3.63,0.00,-0.58,0.00,10.67,2.44,0.00,29.90,44.70
Exchange Income Corporation (TSX:EIF),2005.00,16.00,0.00,49.10,13.40,2.62,5.75,17.30,63.30,9.99,4.04,4.64,0.05,26.68,7.31,1.73,6.60,35.70,44.90
EMRISE Corporation,2005.00,16.00,0.00,41.30,17.60,1.44,2.27,26.00,44.50,13.00,1.14,1.06,0.03,2.41,13.00,2.00,2.11,39.80,45.00
"Reflect Scientific, Inc. (OTCPK:RSCF)",2005.00,16.00,0.00,2.24,0.92,0.04,0.07,1.12,1.15,0.20,-0.02,0.00,0.02,0.00,0.92,5.54,0.00,,45.10
Continental Materials Corporation,2005.00,16.00,0.00,139.00,24.90,2.76,7.84,47.60,87.10,19.80,7.74,0.66,0.02,5.17,27.80,2.40,0.67,46.50,45.30
Hauppauge Digital Inc. (OTCPK:HAUP),2005.00,16.00,0.00,80.10,17.80,1.14,1.39,38.10,38.70,22.50,-0.95,0.00,0.01,0.00,15.60,1.69,0.00,49.70,45.30
"Natural Alternatives International, Inc. (NasdaqGM:NAII)",2005.00,16.00,0.00,89.10,16.70,1.44,5.91,25.80,53.10,13.50,3.59,0.85,0.02,5.01,12.30,1.91,1.40,53.60,45.30
AssuranceAmerica Corporation,2005.00,16.00,0.00,37.10,27.90,2.33,3.51,50.50,69.10,33.30,2.77,0.59,0.06,2.07,17.20,1.52,0.75,28.40,45.40
Warnex Inc.,2005.00,16.00,0.00,14.20,5.02,-3.83,2.88,12.20,30.90,4.40,-2.96,1.88,-0.27,5.41,7.80,2.77,-1.83,43.80,45.40
Opta Minerals Inc.,2005.00,16.00,0.00,36.00,7.85,1.63,4.49,22.50,41.20,4.24,-1.50,0.75,0.05,3.38,18.26,5.31,-2.25,,45.40
Cervus Equipment Corporation (TSX:CERV),2005.00,16.00,0.00,156.50,23.90,4.16,5.38,59.20,76.50,48.50,3.98,8.95,0.03,48.15,10.70,1.22,12.10,22.10,45.70
RF Monolithics Inc.,2005.00,16.00,0.00,46.40,12.90,0.03,2.31,22.20,29.00,5.68,4.23,0.00,0.00,0.00,16.52,3.91,0.00,58.60,45.70
"Hudson Technologies, Inc. (NasdaqCM:HDSN)",2005.00,16.00,0.00,19.20,6.92,2.27,3.21,8.78,11.70,4.89,0.11,0.62,0.12,1.99,3.89,1.80,18.78,23.20,46.10
AlarmForce Industries Inc.,2005.00,16.00,0.00,16.00,12.50,0.79,3.98,5.04,17.50,2.85,2.88,0.00,0.05,0.00,2.19,1.77,0.00,33.00,46.20
H. Paulin & Co. Ltd.,2005.00,16.00,0.00,128.80,29.90,5.16,12.00,65.90,79.30,33.80,0.16,1.83,0.04,21.96,32.10,1.95,133.90,31.00,46.40
Trans-Lux Corporation (OTCPK:TNLX),2005.00,16.00,0.00,54.40,13.60,-1.79,10.50,28.00,100.60,24.00,3.87,4.63,-0.03,48.62,4.00,1.17,12.56,57.90,46.40
"P&F Industries, Inc. (NasdaqGM:PFIN)",2005.00,16.00,0.00,108.00,34.20,6.57,11.80,46.50,86.80,18.60,5.74,2.11,0.06,24.90,27.90,2.50,4.34,50.90,46.60
NAPEC Inc.,2005.00,16.00,0.00,20.10,0.53,-0.96,0.44,22.80,43.10,12.00,-1.64,32.40,-0.05,14.26,10.80,1.90,-8.69,,46.70
"Lyris, Inc.",2005.00,16.00,0.00,11.90,9.49,1.39,2.59,6.60,58.70,9.16,1.46,6.71,0.12,17.38,-2.56,0.72,11.90,26.30,46.90
National Technical Systems Inc.,2005.00,16.00,0.00,111.50,27.20,2.94,11.10,29.30,69.10,13.10,9.54,1.16,0.03,12.88,16.20,2.24,1.35,40.70,46.90
"Digital Generation, Inc.",2005.00,16.00,0.00,51.80,19.60,-1.09,7.33,15.90,114.30,13.30,7.43,3.09,-0.02,22.65,2.60,1.20,3.05,81.20,46.90
"Rocky Mountain Dental Services Holdings, LLC",2005.00,16.00,0.00,36.70,9.48,2.16,5.24,4.90,22.00,5.00,4.36,0.40,0.06,2.11,-0.10,0.98,0.48,23.20,47.00
Hartco Inc.,2005.00,16.00,0.00,551.50,1.97,1.87,1.59,105.30,128.80,56.30,3.31,2.42,0.00,3.85,49.00,1.87,1.16,36.70,47.00
"Mesa Laboratories, Inc. (NasdaqGS:MLAB)",2005.00,16.00,0.00,10.80,6.90,2.55,3.84,10.10,15.60,0.74,2.16,0.00,0.24,0.00,9.36,13.61,0.00,37.00,47.00
"Image Sensing Systems, Inc. (NasdaqCM:ISNS)",2005.00,16.00,0.00,11.00,9.58,2.84,4.47,15.30,16.80,1.02,2.41,0.00,0.26,0.00,14.28,15.00,0.00,51.80,47.10
"Wayside Technology Group, Inc. (NasdaqGM:WSTG)",2005.00,16.00,0.00,137.70,15.00,2.65,3.01,40.90,44.30,26.30,5.45,0.00,0.02,0.00,14.60,1.56,0.00,52.00,47.10
Wrangler West Energy Corp.,2005.00,16.00,0.00,12.30,9.82,2.69,8.70,2.52,28.20,6.87,8.54,0.26,0.22,2.27,-4.35,0.37,0.27,33.40,47.30
"Tengasco, Inc. (AMEX:TGC)",2005.00,16.00,0.00,7.17,4.13,1.09,2.56,1.93,25.90,3.26,2.11,0.00,0.15,0.00,-1.33,0.59,0.00,10.70,47.40
WPCS International Incorporated,2005.00,16.00,0.00,49.40,11.10,-7.68,3.55,20.10,36.90,7.03,0.71,0.00,-0.16,0.00,13.07,2.86,0.00,20.10,47.60
IBI Group Inc. (TSX:IBG),2005.00,16.00,0.00,84.40,23.40,3.25,13.10,43.30,114.90,39.40,8.78,1.48,0.04,19.39,3.90,1.10,2.21,46.50,47.70
General Bearing Corporation,2005.00,16.00,0.00,109.90,32.80,7.22,18.20,68.90,99.90,44.00,3.96,1.14,0.07,20.75,24.90,1.57,5.24,24.10,47.80
"MOCON, Inc.",2005.00,16.00,0.00,24.60,13.80,2.92,4.98,18.30,23.70,4.42,3.33,0.00,0.12,0.00,13.88,4.14,0.00,48.40,47.90
"EMAK Worldwide, Inc.",2005.00,5.00,1.00,223.40,58.50,-39.90,6.15,52.00,69.80,39.50,12.10,0.00,-0.18,0.00,12.50,1.32,0.00,58.10,48.10
Wireless Matrix Corp.,2005.00,16.00,0.00,24.80,11.40,-30.60,0.33,23.90,30.80,7.61,3.68,0.00,-1.23,0.00,16.29,3.14,0.00,27.20,48.30
Hart Stores Inc.,2005.00,16.00,0.00,129.00,9.21,6.12,9.18,39.00,52.10,13.20,4.94,0.10,0.05,0.94,25.80,2.95,0.19,32.70,48.30
"United-Guardian, Inc. (NasdaqGM:UG)",2005.00,16.00,0.00,12.10,6.44,2.62,4.06,14.00,15.00,1.68,3.17,0.00,0.22,0.00,12.32,8.33,0.00,38.90,48.40
Swiss Water Decaffeinated Coffee Inc. (TSX:SWP),2005.00,16.00,0.00,22.20,9.65,5.93,6.79,6.93,62.20,4.20,6.78,0.07,0.27,0.46,2.73,1.65,0.07,80.50,49.60
Wow Unlimited Media Inc. (TSXV:WOW),2005.00,16.00,0.00,24.30,6.93,2.22,5.77,36.60,57.30,28.70,8.21,0.74,0.09,4.24,7.90,1.28,0.52,36.60,49.70
DBM Global Inc. (OTCPK:DBMG),2005.00,16.00,0.00,396.80,70.10,17.20,39.50,136.80,181.00,73.90,26.70,1.53,0.04,60.44,62.90,1.85,2.26,21.20,50.10
Arsenal Energy Inc.,2005.00,16.00,0.00,12.30,6.37,-0.94,3.56,3.93,46.50,7.85,4.31,0.60,-0.08,2.14,-3.92,0.50,0.50,13.80,50.20
Stuart Olson Inc. (TSX:SOX),2005.00,16.00,0.00,411.70,34.10,3.25,6.92,102.70,123.60,87.00,-2.50,0.00,0.01,0.00,15.70,1.18,0.00,19.70,50.20
"Friedman Industries, Incorporated (AMEX:FRD)",2005.00,16.00,0.00,184.00,14.10,5.51,9.87,45.40,52.70,14.10,8.15,0.00,0.03,0.00,31.30,3.22,0.00,88.90,50.30
American Medical Alert Corp.,2005.00,16.00,0.00,22.40,11.50,0.93,4.44,8.34,26.60,4.50,4.20,0.10,0.04,0.43,3.84,1.85,0.10,42.80,50.40
"Overhill Farms, Inc.",2005.00,16.00,0.00,161.90,19.70,3.70,13.40,29.90,58.30,56.20,9.12,3.10,0.02,41.54,-26.30,0.53,4.55,20.10,50.50
"Glacier Water Services, Inc.",2005.00,16.00,0.00,78.70,28.70,-7.24,14.10,8.91,90.00,6.38,5.72,7.95,-0.09,112.10,2.53,1.40,19.60,56.70,50.50
"Wireless Telecom Group, Inc. (AMEX:WTT)",2005.00,16.00,0.00,38.80,20.90,3.54,5.86,31.20,79.30,13.30,3.93,0.00,0.09,0.00,17.90,2.35,0.00,46.90,50.80
Winstar Resources Ltd.,2005.00,16.00,0.00,13.00,8.62,-1.27,3.69,18.00,68.30,5.21,4.14,0.00,-0.10,0.00,12.79,3.45,0.00,,50.80
"CPI Aerostructures, Inc. (AMEX:CVU)",2005.00,16.00,0.00,25.50,6.01,1.52,2.86,31.50,32.70,5.43,-0.68,0.00,0.06,0.00,26.07,5.80,0.00,55.40,51.40
Advanced Photonix Inc.,2005.00,16.00,0.00,20.80,8.43,1.69,1.60,12.40,36.70,5.26,-0.76,4.38,0.08,7.01,7.14,2.36,-9.27,26.20,51.50
"TSS, Inc. (OTCPK:TSSI)",2005.00,16.00,0.00,58.60,8.58,3.28,2.84,43.60,43.80,0.44,0.93,0.00,0.06,0.00,43.16,99.32,0.00,,51.50
Unico American Corporation (NasdaqGM:UNAM),2005.00,16.00,0.00,61.20,18.50,6.72,10.60,39.80,186.30,35.10,9.80,0.00,0.11,0.00,4.70,1.13,0.00,49.40,51.70
"Life Partners Holdings, Inc.",2005.00,10.00,1.00,20.60,8.84,1.14,3.52,8.44,12.40,6.57,1.33,0.00,0.06,0.00,1.87,1.28,0.00,56.10,51.80
"Life Partners Holdings, Inc.",2005.00,16.00,0.00,20.60,8.84,1.14,3.52,8.44,12.40,6.57,1.33,0.00,0.06,0.00,1.87,1.28,0.00,56.10,51.80
"Royale Energy, Inc. (OTCPK:ROYL)",2005.00,16.00,0.00,25.60,14.40,1.19,7.06,11.80,43.00,14.00,6.40,0.28,0.05,2.01,-2.20,0.84,0.31,57.50,51.80
"Marsh Supermarkets Company, LLC",2005.00,12.00,1.00,1722.60,523.20,-13.80,37.70,198.30,550.00,143.50,3.81,5.57,-0.01,209.99,54.80,1.38,55.12,102.30,51.80
Innotrac Corp.,2005.00,16.00,0.00,73.90,36.20,-4.67,0.01,20.90,58.00,9.74,5.13,0.00,-0.06,0.00,11.16,2.15,0.00,104.80,51.80
TVI Pacific Inc. (TSXV:TVI),2005.00,16.00,0.00,15.10,4.43,-2.66,0.63,3.23,16.00,5.45,0.99,1.25,-0.18,0.78,-2.22,0.59,0.79,31.50,52.00
"Patrick Industries, Inc. (NasdaqGS:PATK)",2005.00,16.00,0.00,323.40,38.10,1.42,8.25,57.00,99.70,17.50,5.46,2.19,0.00,18.07,39.50,3.26,3.31,47.70,52.10
Inscape Corporation (TSX:INQ),2005.00,16.00,0.00,82.40,19.70,-4.07,2.71,28.40,61.80,9.38,3.05,0.00,-0.05,0.00,19.02,3.03,0.00,97.40,52.10
Lanesborough Real Estate Investment Trust (TSXV:LRT.UN),2005.00,16.00,0.00,15.30,7.31,-1.83,6.70,21.30,172.50,2.57,2.85,13.90,-0.12,93.13,18.73,8.29,32.68,12.70,52.50
GameTech International Inc.,2005.00,7.00,1.00,49.70,30.70,2.17,15.70,20.20,52.70,8.43,8.43,0.00,0.04,0.00,11.77,2.40,0.00,53.70,53.20
GameTech International Inc.,2005.00,7.00,1.00,49.70,30.70,2.17,15.70,20.20,52.70,8.43,8.43,0.00,0.04,0.00,11.77,2.40,0.00,53.70,53.20
"Diamond Hill Investment Group, Inc. (NasdaqGS:DHIL)",2005.00,16.00,0.00,10.20,2.32,3.65,1.43,5.01,12.70,1.89,2.86,0.00,0.36,0.00,3.12,2.65,0.00,28.20,53.30
"Culp, Inc. (NYSE:CULP)",2005.00,16.00,0.00,264.60,27.30,-18.00,15.60,92.20,166.30,43.40,0.75,2.71,-0.07,42.28,48.80,2.12,56.75,72.80,53.30
"Urologix, Inc. (OTCPK:ULGX)",2005.00,16.00,0.00,26.10,18.10,1.86,3.85,17.80,39.80,3.28,2.00,0.00,0.07,0.00,14.52,5.43,0.00,77.90,53.50
"RGC Resources, Inc. (NasdaqGM:RGCO)",2005.00,16.00,0.00,109.30,12.60,3.33,11.20,59.90,135.30,53.10,-4.17,4.57,0.03,51.18,6.80,1.13,-12.27,54.70,53.70
Magellan Petroleum Corporation,2005.00,16.00,0.00,24.40,16.90,0.20,8.03,29.70,53.10,3.55,10.30,0.00,0.01,0.00,26.15,8.37,0.00,35.10,54.10
"Ebix, Inc. (NasdaqGS:EBIX)",2005.00,16.00,0.00,24.10,18.20,4.32,5.97,10.70,28.00,7.18,5.48,0.00,0.18,0.00,3.52,1.49,0.00,45.80,54.20
Webtech Wireless Inc.,2005.00,16.00,0.00,11.20,5.61,0.33,0.84,9.17,9.89,1.79,-1.30,0.00,0.03,0.00,7.38,5.12,0.00,16.20,54.40
"Kona Grill, Inc. (OTCPK:KONA.Q)",2005.00,14.00,1.00,36.80,7.99,-0.38,2.57,29.30,52.40,4.66,5.29,0.00,-0.01,0.00,24.64,6.29,0.00,,54.50
"Kona Grill, Inc. (OTCPK:KONA.Q)",2005.00,16.00,0.00,36.80,7.99,-0.38,2.57,29.30,52.40,4.66,5.29,0.00,-0.01,0.00,24.64,6.29,0.00,,54.50
K-Bro Linen Inc. (TSX:KBL),2005.00,16.00,0.00,45.00,10.20,3.23,6.66,10.50,50.20,7.81,6.66,0.70,0.07,4.64,2.69,1.34,0.70,,54.50
"Inventure Foods, Inc.",2005.00,16.00,0.00,75.30,13.90,0.28,1.48,21.40,41.80,7.52,0.49,0.00,0.00,0.00,13.88,2.85,0.00,63.50,54.60
"AstroNova, Inc. (NasdaqGM:ALOT)",2005.00,16.00,0.00,59.30,24.70,2.55,4.37,39.70,49.60,8.44,2.41,0.00,0.04,0.00,31.26,4.70,0.00,50.20,54.70
Canterbury Park Holding Corporation (NasdaqGM:CPHC),2005.00,16.00,0.00,54.90,36.00,3.05,7.12,8.73,31.40,6.49,4.71,0.00,0.06,0.00,2.24,1.35,0.00,64.40,54.80
"Chromcraft Revington, Inc.",2005.00,10.00,1.00,169.60,37.60,7.25,14.60,57.70,89.30,12.80,5.97,0.00,0.04,0.00,44.90,4.51,0.00,52.70,55.20
"Chromcraft Revington, Inc.",2005.00,16.00,0.00,169.60,37.60,7.25,14.60,57.70,89.30,12.80,5.97,0.00,0.04,0.00,44.90,4.51,0.00,52.70,55.20
ModSys International Ltd.,2005.00,16.00,0.00,58.90,33.60,1.79,11.00,31.40,99.70,26.90,5.19,1.50,0.03,16.50,4.50,1.17,3.18,52.90,55.60
First National Alarmcap Income Fund,2005.00,16.00,0.00,28.40,20.20,4.74,15.10,5.02,98.90,8.61,10.50,2.71,0.17,40.92,-3.59,0.58,3.90,,55.80
"Mercury Commercial Electronics, Inc.",2005.00,16.00,0.00,22.00,9.88,2.07,4.85,15.50,26.00,4.74,3.55,0.40,0.09,1.95,10.76,3.27,0.55,40.30,56.00
Silvermex Resources Inc.,2005.00,16.00,0.00,6.17,2.22,0.62,1.25,2.06,12.80,1.33,0.36,1.57,0.10,1.96,0.73,1.55,5.41,11.70,56.20
"Condor Hospitality Trust, Inc. (AMEX:CDOR)",2005.00,16.00,0.00,60.50,18.20,2.78,16.00,5.41,157.00,10.80,10.20,5.68,0.05,90.88,-5.39,0.50,8.91,46.10,56.50
Computer Modelling Group Ltd. (TSX:CMG),2005.00,16.00,0.00,14.00,9.89,3.25,5.13,16.80,17.70,6.16,4.31,0.00,0.23,0.00,10.64,2.73,0.00,28.90,56.60
Ramtron International Corp.,2005.00,16.00,0.00,34.40,17.20,-6.49,1.92,17.60,32.80,7.42,-2.94,2.69,-0.19,5.16,10.18,2.37,-1.76,79.60,56.60
Atlantic American Corporation (NasdaqGM:AAME),2005.00,16.00,0.00,122.00,12.60,-3.18,3.95,136.80,460.40,97.30,11.30,9.49,-0.03,37.49,39.50,1.41,3.32,64.30,56.70
Chase Corporation (AMEX:CCF),2005.00,16.00,0.00,93.80,26.00,4.37,10.20,35.20,76.90,16.20,6.65,1.80,0.05,18.36,19.00,2.17,2.76,61.00,56.80
Commercial Solutions Inc.,2005.00,16.00,0.00,91.70,23.30,3.93,7.54,32.40,46.40,18.40,2.75,1.44,0.04,10.86,14.00,1.76,3.95,6.50,56.90
EasyLink Services International Corporation,2005.00,16.00,0.00,19.50,12.60,2.02,3.53,8.44,15.20,1.73,1.89,0.00,0.10,0.00,6.71,4.88,0.00,33.50,56.90
Open Range Energy Corp.,2005.00,16.00,0.00,9.81,8.15,1.32,6.00,14.00,41.50,9.70,0.00,0.00,0.13,0.00,4.30,1.44,,,57.00
"Nathan's Famous, Inc. (NasdaqGS:NATH)",2005.00,16.00,0.00,39.20,14.40,5.27,6.39,27.80,37.00,8.72,4.19,0.00,0.13,0.00,19.08,3.19,0.00,37.80,57.30
Pacific Northern Gas Ltd.,2005.00,16.00,0.00,137.20,31.70,5.71,22.70,28.90,184.60,34.60,10.20,3.46,0.04,78.54,-5.70,0.84,7.70,68.40,57.40
Wenzel Downhole Tools Ltd.,2005.00,16.00,0.00,33.80,16.10,5.58,12.00,16.80,37.40,13.40,5.76,1.32,0.17,15.84,3.40,1.25,2.75,,57.40
"Merisel, Inc.",2005.00,16.00,0.00,71.50,33.60,9.67,8.21,32.30,77.40,11.50,2.46,0.00,0.14,0.00,20.80,2.81,0.00,47.60,57.50
